sampling,epsilon,seed,iteration,exploitability,nash_conv,elapsed_training_seconds,run_id
baseline,0.0,20260811,5,2.1744820311304824,4.348964062260965,7.984581498999432,leduc-baseline-sampling-seed-20260811
baseline,0.0,20260811,10,1.4343265642457537,2.8686531284915073,14.497858720000295,leduc-baseline-sampling-seed-20260811
baseline,0.0,20260811,15,1.0963838416338307,2.1927676832676615,20.462971267000285,leduc-baseline-sampling-seed-20260811
baseline,0.0,20260811,20,1.0710714209578311,2.1421428419156623,27.622766912999396,leduc-baseline-sampling-seed-20260811
baseline,0.0,20260812,5,1.1834505377963467,2.3669010755926934,5.655635901999631,leduc-baseline-sampling-seed-20260812
baseline,0.0,20260812,10,1.0259217349597995,2.051843469919599,12.70048682399829,leduc-baseline-sampling-seed-20260812
baseline,0.0,20260812,15,1.099349577490444,2.198699154980888,19.68402722599876,leduc-baseline-sampling-seed-20260812
baseline,0.0,20260812,20,1.1610795052369562,2.3221590104739125,27.927593344998968,leduc-baseline-sampling-seed-20260812
baseline,0.0,20260813,5,1.1630610379472337,2.3261220758944674,4.696229891001167,leduc-baseline-sampling-seed-20260813
baseline,0.0,20260813,10,1.1456134500953887,2.2912269001907775,9.60094685000331,leduc-baseline-sampling-seed-20260813
baseline,0.0,20260813,15,1.0302514753840346,2.060502950768069,15.869851897003173,leduc-baseline-sampling-seed-20260813
baseline,0.0,20260813,20,1.1077445115779572,2.2154890231559143,23.60163885300244,leduc-baseline-sampling-seed-20260813
exploratory,0.1,20260811,5,2.105256465739569,4.210512931479138,6.968792740000026,leduc-exploratory-sampling-seed-20260811
exploratory,0.1,20260811,10,1.3721808519243979,2.7443617038487957,14.06689751400063,leduc-exploratory-sampling-seed-20260811
exploratory,0.1,20260811,15,1.0615525869850504,2.123105173970101,21.820086711999465,leduc-exploratory-sampling-seed-20260811
exploratory,0.1,20260811,20,1.0913905309408007,2.1827810618816015,29.79778959699979,leduc-exploratory-sampling-seed-20260811
exploratory,0.1,20260812,5,1.0175981684585267,2.0351963369170534,7.7131455179987825,leduc-exploratory-sampling-seed-20260812
exploratory,0.1,20260812,10,1.057466448413814,2.114932896827628,15.70572766299938,leduc-exploratory-sampling-seed-20260812
exploratory,0.1,20260812,15,1.126653343707023,2.253306687414046,24.073946411998804,leduc-exploratory-sampling-seed-20260812
exploratory,0.1,20260812,20,1.2812053586394159,2.5624107172788317,32.533739893999154,leduc-exploratory-sampling-seed-20260812
exploratory,0.1,20260813,5,1.257804531999895,2.51560906399979,7.101219166000192,leduc-exploratory-sampling-seed-20260813
exploratory,0.1,20260813,10,1.1938816036233058,2.3877632072466115,14.78792426200107,leduc-exploratory-sampling-seed-20260813
exploratory,0.1,20260813,15,1.1593196254941476,2.318639250988295,21.36782466800105,leduc-exploratory-sampling-seed-20260813
exploratory,0.1,20260813,20,1.072531473952035,2.14506294790407,28.050639550000597,leduc-exploratory-sampling-seed-20260813
