iteration,elapsed_training_hours,iteration_minutes,traversal_seconds,advantage_training_seconds,strategy_training_seconds,player_zero_advantage_training_loss,player_zero_advantage_validation_loss,player_one_advantage_training_loss,player_one_advantage_validation_loss,strategy_training_loss,strategy_validation_loss,player_zero_advantage_samples_retained,player_one_advantage_samples_retained,strategy_samples_retained,rule_mbb_per_game,rule_ci_low,rule_ci_high,random_mbb_per_game,random_ci_low,random_ci_high
1,0.10427838462974048,6.280521384731401,26.333664522971958,279.48781726602465,69.58064386597835,0.008681629784405231,2.020425796508789,1.6429495811462402,35.704322814941406,9.66830975812627e-06,0.29263120889663696,30000,216533,294888,-114.4,-145.90249999999997,-82.39875000000002,,,
2,0.20603118729978126,6.132690264369982,26.73006169591099,268.4771623548586,71.10282745887525,0.36997464299201965,56.70391845703125,3.18333101272583,73.3985824584961,0.023884102702140808,0.5550844073295593,69751,429666,608749,-104.6,-141.4,-67.75,,,
5,0.4818557594745006,6.48475899908226,25.860707544256,283.83187670004554,75.67149585019797,1.6196684837341309,69.86180877685547,6.986132621765137,36.68010711669922,0.1286136656999588,0.277982622385025,267110,912573,1507722,-224.70000000000002,-260.30125,-189.25,,,
20,1.8185973768378607,7.054759132765079,25.301569781964645,296.1215083959978,89.56628877390176,3.1784393787384033,20.668296813964844,9.666155815124512,11.50855541229248,0.05318868160247803,0.07743880152702332,1348525,2774669,5667040,-116.6,-148.65,-85.24875000000002,555.65,509.5,603.00125
40,4.128079013292575,7.211867092099662,15.547546713845804,297.32680104114115,97.0181915271096,1.5718755722045898,9.074310302734375,5.43843412399292,5.839550495147705,0.08230753988027573,0.09661641716957092,2570085,5527209,10000000,38.9,8.748750000000012,69.55,,,
60,5.975864068038839,7.660494236834348,15.65882696188055,316.85426078899764,98.79346605110914,1.0818474292755127,5.909231662750244,3.579322576522827,3.8506929874420166,0.18306834995746613,0.19095076620578766,3724045,8307768,10000000,70.45,41.5,99.2,,,
80,7.878343826473704,7.7247551814847,16.442904563853517,318.5377870921511,97.50776544190012,0.7874813675880432,4.330728054046631,7.569155216217041,8.449268341064453,0.20944024622440338,0.21907645463943481,4855196,10000000,10000000,113.19999999999999,85.94875000000002,140.15,,,
100,9.799501124531963,7.759132460419399,16.509775874204934,320.0358845649753,96.52863594796509,0.6303128004074097,3.458630323410034,14.082964897155762,15.547575950622559,0.21687917411327362,0.22881928086280823,6000875,10000000,10000000,135.6,107.79875000000001,163.6,,,
130,12.65479849342813,7.702257553716966,15.367691691732034,316.5186112348456,94.89898140891455,0.488059937953949,2.6612465381622314,18.885652542114258,20.250328063964844,0.2232448011636734,0.23451712727546692,7766493,10000000,10000000,130.14999999999998,104.04875000000001,155.95124999999996,566.75,524.59875,610.00125
150,14.562464373113924,7.716189101633305,16.449543917085975,317.79998744209297,93.92602606397122,0.418110728263855,2.3163909912109375,19.427465438842773,20.589746475219727,0.22345878183841705,0.23341087996959686,8895328,10000000,10000000,153.70000000000002,127.64875000000002,179.2,593.6,552.49875,636.2
180,17.438913920115642,7.76659965563255,15.941021271981299,319.5788103810046,93.95197099098004,2.8197431564331055,4.274840831756592,21.52750015258789,22.74577522277832,0.22273795306682587,0.23394985496997833,10000000,10000000,10000000,148.65,123.54875000000001,173.9,549.6999999999999,509.6975,590.1
210,20.32979462592927,17.9567422970819,15.754696069052443,322.10344295203686,94.09078602399677,7.781416893005371,8.783543586730957,22.064428329467773,23.696107864379883,0.2273646891117096,0.2345733344554901,10000000,10000000,10000000,133.64999999999998,107.74875000000002,159.6,605.15,563.84875,647.2012500000001
240,23.216212268785522,7.878413136784608,14.930869913194329,325.36125449603423,95.50836964696646,10.59327507019043,11.950277328491211,22.517534255981445,23.69915008544922,0.2266131341457367,0.23635277152061462,10000000,10000000,10000000,151.7,125.99875000000002,177.7,562.1500000000001,521.8,603.4525
