game,game_version,utility_unit,solver,run_id,strategy_snapshot_id,source_checkpoint_id,iteration,seed,opponent_id,opponent_snapshot_id,opponent_iteration,hands,paired_deals,mbb_per_game,confidence_level,confidence_interval_method,confidence_interval_low,confidence_interval_high,bootstrap_resamples
holdem,modified_hulhe,chip,optimised,modified-hulhe-k10-u8-grouped,modified-hulhe-k10-u8-grouped_iter_1,modified-hulhe-k10-u8-grouped_iter_1,1,20260811,rule_based_v1,,0,20000,10000,-114.4,0.95,seeded_paired_bootstrap_percentile,-145.90249999999997,-82.39875000000002,10000
holdem,modified_hulhe,chip,optimised,modified-hulhe-k10-u8-grouped,modified-hulhe-k10-u8-grouped_iter_2,modified-hulhe-k10-u8-grouped_iter_2,2,20260811,rule_based_v1,,0,20000,10000,-104.6,0.95,seeded_paired_bootstrap_percentile,-141.4,-67.75,10000
holdem,modified_hulhe,chip,optimised,modified-hulhe-k10-u8-grouped,modified-hulhe-k10-u8-grouped_iter_5,modified-hulhe-k10-u8-grouped_iter_5,5,20260811,rule_based_v1,,0,20000,10000,-224.70000000000002,0.95,seeded_paired_bootstrap_percentile,-260.30125,-189.25,10000
holdem,modified_hulhe,chip,optimised,modified-hulhe-k10-u8-grouped,modified-hulhe-k10-u8-grouped_iter_20,modified-hulhe-k10-u8-grouped_iter_20,20,20260811,rule_based_v1,,0,20000,10000,-116.6,0.95,seeded_paired_bootstrap_percentile,-148.65,-85.24875000000002,10000
holdem,modified_hulhe,chip,optimised,modified-hulhe-k10-u8-grouped,modified-hulhe-k10-u8-grouped_iter_20,modified-hulhe-k10-u8-grouped_iter_20,20,20260811,uniform_random,,0,20000,10000,555.65,0.95,seeded_paired_bootstrap_percentile,509.5,603.00125,10000
holdem,modified_hulhe,chip,optimised,modified-hulhe-k10-u8-grouped,modified-hulhe-k10-u8-grouped_iter_20,modified-hulhe-k10-u8-grouped_iter_20,20,20260811,modified-hulhe-exploratory-u8-development_iter_20,modified-hulhe-exploratory-u8-development_iter_20,20,20000,10000,3.4499999999999997,0.95,seeded_paired_bootstrap_percentile,-42.35124999999999,50.15124999999998,10000
holdem,modified_hulhe,chip,optimised,modified-hulhe-k10-u8-grouped,modified-hulhe-k10-u8-grouped_iter_20,modified-hulhe-k10-u8-grouped_iter_20,20,20260811,modified-hulhe-k10-u8-grouped_iter_20,modified-hulhe-k10-u8-grouped_iter_20,20,20000,10000,-41.5,0.95,seeded_paired_bootstrap_percentile,-86.05249999999998,4.601249999999982,10000
holdem,modified_hulhe,chip,optimised,modified-hulhe-k10-u8-grouped,modified-hulhe-k10-u8-grouped_iter_40,modified-hulhe-k10-u8-grouped_iter_40,40,20260811,rule_based_v1,,0,20000,10000,38.9,0.95,seeded_paired_bootstrap_percentile,8.748750000000012,69.55,10000
holdem,modified_hulhe,chip,optimised,modified-hulhe-k10-u8-grouped,modified-hulhe-k10-u8-grouped_iter_60,modified-hulhe-k10-u8-grouped_iter_60,60,20260811,rule_based_v1,,0,20000,10000,70.45,0.95,seeded_paired_bootstrap_percentile,41.5,99.2,10000
holdem,modified_hulhe,chip,optimised,modified-hulhe-k10-u8-grouped,modified-hulhe-k10-u8-grouped_iter_80,modified-hulhe-k10-u8-grouped_iter_80,80,20260811,rule_based_v1,,0,20000,10000,113.19999999999999,0.95,seeded_paired_bootstrap_percentile,85.94875000000002,140.15,10000
holdem,modified_hulhe,chip,optimised,modified-hulhe-k10-u8-grouped,modified-hulhe-k10-u8-grouped_iter_100,modified-hulhe-k10-u8-grouped_iter_100,100,20260811,rule_based_v1,,0,20000,10000,135.6,0.95,seeded_paired_bootstrap_percentile,107.79875000000001,163.6,10000
holdem,modified_hulhe,chip,optimised,modified-hulhe-k10-u8-grouped,modified-hulhe-k10-u8-grouped_iter_130,modified-hulhe-k10-u8-grouped_iter_130,130,20260811,rule_based_v1,,0,20000,10000,130.14999999999998,0.95,seeded_paired_bootstrap_percentile,104.04875000000001,155.95124999999996,10000
holdem,modified_hulhe,chip,optimised,modified-hulhe-k10-u8-grouped,modified-hulhe-k10-u8-grouped_iter_130,modified-hulhe-k10-u8-grouped_iter_130,130,20260811,uniform_random,,0,20000,10000,566.75,0.95,seeded_paired_bootstrap_percentile,524.59875,610.00125,10000
holdem,modified_hulhe,chip,optimised,modified-hulhe-k10-u8-grouped,modified-hulhe-k10-u8-grouped_iter_130,modified-hulhe-k10-u8-grouped_iter_130,130,20260811,modified-hulhe-k10-u8-grouped_iter_100,modified-hulhe-k10-u8-grouped_iter_100,100,20000,10000,22.599999999999998,0.95,seeded_paired_bootstrap_percentile,-11.151249999999989,56.251249999999985,10000
holdem,modified_hulhe,chip,optimised,modified-hulhe-k10-u8-grouped,modified-hulhe-k10-u8-grouped_iter_130,modified-hulhe-k10-u8-grouped_iter_130,130,20260811,modified-hulhe-k10-u8-grouped_iter_120,modified-hulhe-k10-u8-grouped_iter_120,120,20000,10000,5.4,0.95,seeded_paired_bootstrap_percentile,-27.6,38.85,10000
holdem,modified_hulhe,chip,optimised,modified-hulhe-k10-u8-grouped,modified-hulhe-k10-u8-grouped_iter_130,modified-hulhe-k10-u8-grouped_iter_130,130,20260811,modified-hulhe-k10-u8-grouped_iter_130,modified-hulhe-k10-u8-grouped_iter_130,130,20000,10000,-13.5,0.95,seeded_paired_bootstrap_percentile,-44.15124999999999,18.35,10000
holdem,modified_hulhe,chip,optimised,modified-hulhe-k10-u8-grouped,modified-hulhe-k10-u8-grouped_iter_150,modified-hulhe-k10-u8-grouped_iter_150,150,20260811,rule_based_v1,,0,20000,10000,153.70000000000002,0.95,seeded_paired_bootstrap_percentile,127.64875000000002,179.2,10000
holdem,modified_hulhe,chip,optimised,modified-hulhe-k10-u8-grouped,modified-hulhe-k10-u8-grouped_iter_150,modified-hulhe-k10-u8-grouped_iter_150,150,20260811,uniform_random,,0,20000,10000,593.6,0.95,seeded_paired_bootstrap_percentile,552.49875,636.2,10000
holdem,modified_hulhe,chip,optimised,modified-hulhe-k10-u8-grouped,modified-hulhe-k10-u8-grouped_iter_150,modified-hulhe-k10-u8-grouped_iter_150,150,20260811,modified-hulhe-k10-u8-grouped_iter_100,modified-hulhe-k10-u8-grouped_iter_100,100,20000,10000,29.75,0.95,seeded_paired_bootstrap_percentile,-3.8024999999999776,63.4,10000
holdem,modified_hulhe,chip,optimised,modified-hulhe-k10-u8-grouped,modified-hulhe-k10-u8-grouped_iter_150,modified-hulhe-k10-u8-grouped_iter_150,150,20260811,modified-hulhe-k10-u8-grouped_iter_130,modified-hulhe-k10-u8-grouped_iter_130,130,20000,10000,-8.45,0.95,seeded_paired_bootstrap_percentile,-39.55,22.65,10000
holdem,modified_hulhe,chip,optimised,modified-hulhe-k10-u8-grouped,modified-hulhe-k10-u8-grouped_iter_150,modified-hulhe-k10-u8-grouped_iter_150,150,20260811,modified-hulhe-k10-u8-grouped_iter_150,modified-hulhe-k10-u8-grouped_iter_150,150,20000,10000,-20.25,0.95,seeded_paired_bootstrap_percentile,-50.65124999999999,10.801249999999982,10000
holdem,modified_hulhe,chip,optimised,modified-hulhe-k10-u8-grouped,modified-hulhe-k10-u8-grouped_iter_180,modified-hulhe-k10-u8-grouped_iter_180,180,20260811,rule_based_v1,,0,20000,10000,148.65,0.95,seeded_paired_bootstrap_percentile,123.54875000000001,173.9,10000
holdem,modified_hulhe,chip,optimised,modified-hulhe-k10-u8-grouped,modified-hulhe-k10-u8-grouped_iter_180,modified-hulhe-k10-u8-grouped_iter_180,180,20260811,uniform_random,,0,20000,10000,549.6999999999999,0.95,seeded_paired_bootstrap_percentile,509.6975,590.1,10000
