game,game_version,solver,run_id,strategy_snapshot_id,iteration,seed,elapsed_training_seconds,iteration_seconds,traversal_seconds,advantage_training_seconds,strategy_training_seconds,player_zero_advantage_training_loss,player_zero_advantage_validation_loss,player_one_advantage_training_loss,player_one_advantage_validation_loss,strategy_training_loss,strategy_validation_loss,player_zero_advantage_samples_retained,player_zero_advantage_samples_seen,player_one_advantage_samples_retained,player_one_advantage_samples_seen,strategy_samples_retained,strategy_samples_seen,process_rss_bytes,cuda_peak_allocated_bytes,cuda_peak_reserved_bytes,free_disk_bytes
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,modified-hulhe-k10-u8-grouped_iter_1,1,20260811,375.40218466706574,376.83128308388405,26.333664522971958,279.48781726602465,69.58064386597835,0.008681629784405231,2.020425796508789,1.6429495811462402,35.704322814941406,9.66830975812627e-06,0.29263120889663696,30000,30000,216533,216533,294888,294888,1929416704,282922496,616562688,199742657385
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,modified-hulhe-k10-u8-grouped_iter_2,2,20260811,741.7122742792126,367.9614158621989,26.73006169591099,268.4771623548586,71.10282745887525,0.36997464299201965,56.70391845703125,3.18333101272583,73.3985824584961,0.023884102702140808,0.5550844073295593,69751,69751,429666,429666,608749,608749,2109796352,296370688,629145600,199237408176
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,3,20260811,1039.7195828771219,300.24870621203445,26.216975454008207,271.79031226504594,0.0,0.21000856161117554,67.60028076171875,4.397898197174072,56.031005859375,,,127543,127543,602109,602109,906165,906165,2335449088,309818880,643825664,198514339562
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,4,20260811,1349.3166187980678,312.4945865110494,26.628270654007792,282.96871134615503,0.0,0.7507700324058533,68.73927307128906,5.6975812911987305,42.53873062133789,,,195567,195567,760371,760371,1208323,1208323,2623586304,309818880,643825664,197566379894
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,modified-hulhe-k10-u8-grouped_iter_5,5,20260811,1734.6807341082022,389.0855399449356,25.860707544256,283.83187670004554,75.67149585019797,1.6196684837341309,69.86180877685547,6.986132621765137,36.68010711669922,0.1286136656999588,0.277982622385025,267110,267110,912573,912573,1507722,1507722,2780774400,309818880,643825664,196382326023
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,6,20260811,2051.639793298207,321.16881307121366,26.511226054048166,290.4477658001706,0.0,1.7923710346221924,71.5743637084961,7.535269260406494,30.476768493652344,,,343226,343226,1051201,1051201,1801362,1801362,2867892224,296370688,515899392,194041672447
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,7,20260811,2369.380438989261,322.7362169439439,27.43963410402648,290.300916576758,0.0,2.7788639068603516,70.2916259765625,7.786452770233154,26.99625587463379,,,422946,422946,1193743,1193743,2103122,2103122,3086622720,303094784,522190848,192923498707
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,8,20260811,2686.6458215911407,323.07073200307786,26.497283338103443,290.76804947992787,0.0,3.059612512588501,59.629947662353516,8.260481834411621,24.267887115478516,,,498816,498816,1333656,1333656,2397536,2397536,3325038592,303094784,522190848,191812745643
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,9,20260811,3001.66825389117,321.34027532697655,27.227717636153102,287.79467534064315,0.0,3.2760884761810303,53.599849700927734,8.829649925231934,22.44401741027832,,,574828,574828,1472737,1472737,2692364,2692364,3522359296,303094784,522190848,190709872444
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,10,20260811,3319.3362480180804,324.3588931891136,26.272843145066872,291.3951190011576,0.0,3.641308546066284,47.637359619140625,8.51443099975586,20.271276473999023,,,651608,651608,1597266,1597266,2975291,2975291,3732090880,303094784,522190848,189630280352
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,11,20260811,3638.08025392727,326.1763009640854,26.860019376967102,291.8839439919684,0.0,3.7823874950408936,42.84990310668945,9.540658950805664,19.085525512695312,,,724852,724852,1729862,1729862,3260501,3260501,3937640448,303094784,522190848,186301148789
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,12,20260811,3958.3828173892107,329.0076318711508,26.67349843424745,293.62898136791773,0.0,3.978428840637207,38.41910934448242,9.375113487243652,17.40560531616211,,,800814,800814,1853615,1853615,3539720,3539720,4134789120,303094784,522190848,185248117335
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,13,20260811,4269.667200584197,320.0984109281562,25.458739389199764,285.82559196813963,0.0,3.948329210281372,35.413997650146484,9.409838676452637,16.70652198791504,,,872957,872957,1966396,1966396,3805978,3805978,4326068224,303094784,522190848,184220195705
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,14,20260811,4578.124442552216,317.4965175909456,24.6858438460622,283.7713558510877,0.0,3.8332056999206543,32.49114227294922,9.609987258911133,15.535876274108887,,,943014,943014,2078441,2078441,4070279,4070279,4449697792,303094784,522190848,183219299674
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,15,20260811,4888.8976437794045,320.63711882103235,25.296794920926914,285.4763717323076,0.0,3.851048231124878,28.785465240478516,9.724796295166016,14.812219619750977,,,1012829,1012829,2197482,2197482,4340662,4340662,4785975296,303094784,522190848,182229039805
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,16,20260811,5197.426650263369,318.53730212990195,24.813767725834623,283.7152089921292,0.0,3.6840968132019043,27.136465072631836,9.729671478271484,13.885703086853027,,,1084408,1084408,2311853,2311853,4607001,4607001,4896010240,303094784,522190848,178008097102
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,17,20260811,5508.486018687254,321.72744704200886,24.932160350959748,286.1271716149058,0.0,3.545865058898926,24.877872467041016,9.82926082611084,13.224085807800293,,,1149108,1149108,2425430,2425430,4867266,4867266,5095256064,303094784,522190848,177051514923
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,18,20260811,5820.213931522332,323.2672861071769,24.89417724800296,286.83369833487086,0.0,3.435709238052368,23.755159378051758,9.420086860656738,12.776701927185059,,,1216623,1216623,2541234,2541234,5136148,5136148,5211049984,303094784,522190848,176094497098
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,19,20260811,6135.961121334229,328.47781941783614,24.750092562986538,290.997025643941,0.0,3.2649154663085938,21.800395965576172,10.083539962768555,12.517348289489746,,,1283350,1283350,2653030,2653030,5397671,5397671,5459718144,303094784,522190848,175140183785
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,modified-hulhe-k10-u8-grouped_iter_20,20,20260811,6546.950556616299,423.2855479659047,25.301569781964645,296.1215083959978,89.56628877390176,3.1784393787384033,20.668296813964844,9.666155815124512,11.50855541229248,0.05318868160247803,0.07743880152702332,1348525,1348525,2774669,2774669,5667040,5667040,5799055360,303094784,522190848,174173711615
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,21,20260811,7528.996835145168,994.6915652011521,500.4942337300163,481.55195206287317,0.0,3.072870969772339,19.47426414489746,9.199015617370605,11.126823425292969,,,1411421,1411421,2901602,2901602,5940228,5940228,5514027008,296370688,515899392,168982274145
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,22,20260811,8810.20101078297,1295.4140961871017,985.2062112090643,295.9978399828542,0.0,2.8902792930603027,18.807411193847656,9.1513032913208,10.771203994750977,,,1475610,1475610,3021794,3021794,6211043,6211043,5772992512,303094784,522190848,168017605342
